crn, date, julian, pic
#, mmddyy, day, mg/m2/day
 124, 032101,  4554,    3.130
 125, 041801,  4582,    2.530
 126, 051601,  4610,    2.760
 127, 061401,  4639,    4.040
 129, 080801,  4694,    1.780
 130, 100201,  4749,    2.940
 131, 102301,  4770,    3.360
 132, 111701,  4795,    2.110
 134, 011602,  4855,    3.420
 135, 022102,  4891,    1.430
 136, 031302,  4911,    0.040
 137, 052102,  4980,    3.420
 139, 082802,  5079,    2.400
 140, 100702,  5119,    1.900
 141, 110402,  5147,    1.900
 142, 112502,  5168,    1.950
 143, 121902,  5192,    1.530
 145, 022603,  5261,    2.870
 146, 032903,  5292,    5.020
 147, 042403,  5318,    7.310
 148, 052103,  5345,    8.340
 149, 062003,  5375,    3.700
 150, 072003,  5405,    3.330
 152, 101503,  5492,    1.710
 153, 111003,  5518,    3.120
 154, 122003,  5558,    3.190
 155, 012204,  5591,    0.680
 156, 022504,  5625,    2.860
 157, 032004,  5649,    2.880
 158, 042104,  5681,    3.660
 159, 051904,  5709,    2.460
 160, 061604,  5737,    2.890
 163, 092904,  5842,    1.810
 164, 103104,  5874,    3.240
 165, 112804,  5902,    2.970
 166, 122104,  5925,    1.930
 167, 020205,  5968,    1.450
 168, 030505,  5999,    7.980
 169, 051805,  6073,    2.850
 170, 061505,  6101,    4.540
 171, 071705,  6133,    2.380
 172, 081405,  6161,    3.030
 173, 091005,  6188,    4.200
 174, 100905,  6217,    1.910
 175, 111205,  6251,    1.770
 176, 121305,  6282,    2.800
 185, 091606,  6559,    0.690
 186, 102106,  6594,    1.190
 187, 110906,  6613,    2.300
 188, 121006,  6644,    1.480
 189, 020707,  6703,    2.510
 191, 050507,  6790,    3.010
 192, 061007,  6826,    0.400
 193, 070807,  6854,    1.550
 194, 080407,  6881,    4.080
 195, 090307,  6911,    3.150
 196, 100307,  6941,    1.650
 197, 120207,  7001,    1.590
 198, 122107,  7020,    9.630
 199, 013008,  7060,    1.340
 200, 022408,  7085,    3.380
 201, 052808,  7179,    1.250
 202, 062608,  7208,    3.580
 203, 072708,  7239,    4.950
 205, 101108,  7315,    1.570
 206, 120108,  7366,    2.480
 208, 012109,  7417,    2.060
 209, 021809,  7445,    8.520
 210, 042909,  7515,    4.100
 211, 052809,  7544,    3.050
 212, 070409,  7581,    3.110
 213, 072509,  7602,    3.990
 215, 092509,  7664,    2.690
 220, 040710,  7858,    3.320
 221, 051910,  7900,    4.890
 222, 060910,  7921,    4.610
 223, 070910,  7951,    5.600
 224, 080810,  7981,    3.130
 225, 090410,  8008,    4.320
 226, 100410,  8038,    1.490
 228, 010911,  8135,    1.620
 229, 012911,  8155,    3.250
 230, 030111,  8186,    2.330
 231, 041211,  8228,    1.840
 232, 051011,  8256,    2.730
 233, 072011,  8327,    1.790
 236, 110511,  8435,    5.920
 239, 011912,  8510,    0.860
 240, 032512,  8576,    2.450
 241, 050212,  8614,    5.590
 242, 053112,  8643,    4.020
 243, 062712,  8670,    2.990
 244, 080112,  8705,    2.630
 245, 081812,  8722,    1.310
 246, 091512,  8750,    2.270
 247, 100812,  8773,    1.610
 248, 120412,  8830,    1.560
 249, 021313,  8901,    1.450
 250, 030713,  8923,    3.080
 251, 040613,  8953,    1.910
 252, 051813,  8995,    1.850
 253, 062613,  9034,    4.270
 254, 091213,  9112,    2.500
 255, 100213,  9132,    1.530
 256, 102813,  9158,    2.470
 257, 112713,  9188,    0.960
 258, 122113,  9212,    0.320
 259, 011614,  9238,    3.400
 260, 021514,  9268,    1.120
 261, 030614,  9287,    2.560
 262, 041114,  9323,    1.540
 265, 091514,  9480,    2.870
 266, 101414,  9509,    3.770
 267, 112214,  9548,    1.770
 268, 121714,  9573,    1.460
 269, 022515,  9643,    5.790
 270, 032915,  9675,    1.070
 271, 042215,  9699,    2.490
 272, 052415,  9731,    2.100
 273, 062015,  9758,    2.390
 274, 072015,  9788,    2.860
 275, 081315,  9812,    5.750
 277, 101415,  9874,    1.840
 281, 021016,  9993,    2.380
 282, 030916, 10021,    3.110
 284, 052916, 10102,    3.540
 285, 071216, 10146,    2.780
 286, 081016, 10175,    2.220
 287, 101616, 10242,    1.650
