crn, date, julian, carb
#, mmddyy, day, mg/m2/day
   2, 120288,    62,   27.000
   3, 010889,    99,   28.000
   4, 022689,   148,   38.000
   5, 032789,   177,   36.000
   6, 051889,   229,   26.300
   7, 062489,   266,   20.000
   8, 072989,   301,   57.000
   9, 082489,   327,   50.000
  10, 092289,   356,   36.000
  11, 101889,   382,   33.000
  13, 010590,   461,   23.300
  14, 021590,   502,   54.100
  15, 031990,   534,   43.300
  16, 041390,   559,   29.400
  17, 050990,   585,   17.700
  18, 061390,   620,   36.500
  19, 072590,   662,   40.700
  20, 091590,   714,   46.100
  22, 121890,   808,   22.200
  23, 020391,   855,   17.700
  24, 030791,   887,   17.900
  26, 050891,   949,   41.500
  27, 060591,   977,   49.500
  28, 071091,  1012,   22.300
  29, 081091,  1043,   30.200
  30, 091891,  1082,   26.800
  31, 102191,  1115,   13.400
  32, 120791,  1162,   22.000
  33, 010592,  1191,   26.000
  34, 021592,  1232,   18.200
  35, 030692,  1252,   29.000
  36, 041792,  1294,   17.300
  37, 060992,  1347,   22.300
  38, 070592,  1373,   28.400
  39, 080592,  1404,   25.800
  40, 092392,  1453,   19.300
  41, 102092,  1480,   10.700
  44, 012093,  1572,   25.200
  45, 021793,  1600,   37.200
  46, 041593,  1657,   20.600
  47, 052193,  1693,   21.900
  49, 091593,  1810,   18.100
  50, 103093,  1855,   25.800
  51, 012094,  1937,   27.300
  52, 021794,  1965,   21.800
  53, 030994,  1985,   22.500
  54, 061994,  2087,   23.500
  55, 072594,  2123,   19.100
  56, 083094,  2159,   41.100
  57, 092394,  2183,   18.200
  58, 101594,  2205,   17.700
  60, 020695,  2319,   18.900
  62, 040695,  2378,   21.700
  63, 050795,  2409,   21.800
  64, 073095,  2493,   22.700
  65, 082995,  2523,   25.900
  66, 092695,  2551,   23.000
  67, 102795,  2582,   25.800
  68, 111795,  2603,   21.500
  69, 011796,  2664,   11.100
  70, 032796,  2734,   34.800
  71, 042496,  2762,   22.600
  72, 052296,  2790,   32.400
  73, 062696,  2825,   34.800
