crn, date, julian, n, mean, StdDev, StdErr
#, mmddyy, day, #, ng/l, ng/l, ng/l
   4, 022689,   148,    3,    5.333,    2.082,    1.202
   8, 072989,   301,    3,    6.333,    2.309,    1.333
   9, 082489,   327,    3,    3.000,    2.646,    1.528
  10, 092289,   356,    3,    1.333,    0.577,    0.333
  12, 112789,   422,    3,    1.667,    0.577,    0.333
  15, 031990,   534,    4,    4.500,    1.291,    0.645
  16, 041390,   559,    3,    3.000,    1.000,    0.577
  17, 050990,   585,    1,    2.000,    0.000,    0.000
  18, 061390,   620,    2,    2.000,    0.000,    0.000
  19, 072590,   662,    2,    3.500,    0.707,    0.500
  22, 121890,   808,    4,    3.500,    0.577,    0.289
  23, 020391,   855,    3,    3.333,    1.155,    0.667
  24, 030791,   887,    3,    4.667,    2.309,    1.333
  25, 041091,   921,    2,    5.000,    1.414,    1.000
  26, 050891,   949,    6,    4.000,    1.265,    0.516
  28, 071091,  1012,    4,    5.000,    1.826,    0.913
  29, 081091,  1043,    1,    3.000,    0.000,    0.000
  30, 091891,  1082,    4,    4.500,    1.732,    0.866
  32, 120791,  1162,    4,    3.750,    0.500,    0.250
  33, 010592,  1191,    4,    4.000,    0.816,    0.408
  34, 021592,  1232,    3,    5.000,    1.732,    1.000
  35, 030692,  1252,    2,    5.000,    1.414,    1.000
  36, 041792,  1294,    1,    4.000,    0.000,    0.000
  38, 070592,  1373,    2,    4.000,    0.000,    0.000
  39, 080592,  1404,    3,    3.667,    0.577,    0.333
  40, 092392,  1453,    4,    6.750,    2.217,    1.109
  41, 102092,  1480,    2,    4.500,    0.707,    0.500
  42, 112492,  1515,    2,    2.500,    0.707,    0.500
  43, 121692,  1537,    1,    1.000,    0.000,    0.000
  44, 012093,  1572,    4,    3.250,    1.258,    0.629
  45, 021793,  1600,    1,    2.000,    0.000,    0.000
  46, 041593,  1657,    3,    2.333,    0.577,    0.333
  47, 052193,  1693,    3,    1.333,    0.577,    0.333
  49, 091593,  1810,    1,    3.000,    0.000,    0.000
  50, 103093,  1855,    2,    3.000,    0.000,    0.000
 279, 120915,  9930,    4,    0.000,    0.000,    0.000
 280, 011316,  9965,    5,    3.400,    4.669,    2.088
 281, 021016,  9993,    2,    0.000,    0.000,    0.000
 282, 030916, 10021,    7,    0.429,    1.134,    0.429
 283, 041516, 10058,    4,    1.750,    2.062,    1.031
 284, 052916, 10102,    2,    2.000,    0.000,    0.000
 285, 071216, 10146,    4,    1.500,    1.291,    0.645
 286, 081016, 10175,    2,    1.500,    0.707,    0.500
 287, 101616, 10242,    4,    1.750,    1.500,    0.750
 288, 112716, 10284,    6,    0.833,    0.753,    0.307
 289, 012417, 10342,    5,    1.600,    1.517,    0.678
 290, 022317, 10372,    6,    1.333,    0.516,    0.211
 291, 032917, 10406,    2,    0.000,    0.000,    0.000
 292, 042617, 10434,    2,    0.500,    0.707,    0.500
 293, 052417, 10462,    3,    1.333,    1.155,    0.667
 294, 062117, 10490,    1,    1.000,    0.000,    0.000
 295, 080917, 10539,    3,    1.000,    0.000,    0.000
 296, 100717, 10598,    4,    1.250,    0.500,    0.250
 297, 110917, 10631,    4,    1.750,    0.957,    0.479
 298, 121317, 10665,    7,    5.143,    1.864,    0.705
 300, 022618, 10740,    5,   10.600,   13.740,    6.145
 301, 041818, 10791,    2,    3.500,    0.707,    0.500
 302, 051618, 10819,    1,    3.000,    0.000,    0.000
 303, 062718, 10861,    2,    1.000,    0.000,    0.000
 304, 072518, 10889,    2,    5.500,    2.121,    1.500
 305, 091118, 10937,    2,    2.500,    0.707,    0.500
 306, 101318, 10969,    3,    6.667,    2.887,    1.667
 307, 111718, 11004,    4,    8.500,    4.509,    2.255
