crn, date, julian, n, mean, StdDev, StdErr
#, mmddyy, day, #, ng/l, ng/l, ng/l
  51, 012094,  1937,    5,   67.200,    4.147,    1.855
  52, 021794,  1965,    4,   53.500,   19.468,    9.734
  53, 030994,  1985,    2,   36.000,    1.414,    1.000
  54, 061994,  2087,    2,   33.000,    1.414,    1.000
  55, 072594,  2123,    4,   72.750,   19.619,    9.810
  56, 083094,  2159,    5,   50.800,    4.147,    1.855
  57, 092394,  2183,    3,   35.333,    7.095,    4.096
  58, 101594,  2205,    3,   34.667,    4.619,    2.667
  59, 111994,  2240,    5,   59.800,    7.530,    3.367
  61, 030495,  2345,    2,   32.000,    1.414,    1.000
  62, 040695,  2378,    2,   38.500,    0.707,    0.500
  63, 050795,  2409,    4,   40.250,    2.217,    1.109
  64, 073095,  2493,    4,   32.250,    3.202,    1.601
  65, 082995,  2523,    3,   28.667,    0.577,    0.333
  66, 092695,  2551,    3,   32.000,    6.083,    3.512
  67, 102795,  2582,    3,   32.333,    2.309,    1.333
  68, 111795,  2603,    3,   45.333,    1.155,    0.667
  69, 011796,  2664,    4,   32.000,   10.614,    5.307
  70, 032796,  2734,    3,   42.667,    1.528,    0.882
  71, 042496,  2762,    2,   36.500,    3.536,    2.500
  73, 062696,  2825,    3,   29.333,    7.095,    4.096
  74, 072796,  2856,    3,   48.000,    2.000,    1.155
  75, 082196,  2881,    3,   41.000,    7.211,    4.163
  76, 100296,  2923,    2,   42.500,    2.121,    1.500
  77, 103096,  2951,    3,   37.000,    1.000,    0.577
  78, 121196,  2993,    4,   83.750,   20.565,   10.282
  79, 010897,  3021,    4,   44.750,    4.787,    2.394
  80, 021897,  3062,    5,   80.000,   37.443,   16.745
  81, 031297,  3084,    2,   54.500,    2.121,    1.500
  82, 040997,  3112,    1,   41.000,    0.000,    0.000
  83, 050797,  3140,    2,   50.000,    9.899,    7.000
  84, 060497,  3168,    3,   29.000,    3.606,    2.082
  85, 070997,  3203,    4,   48.000,    5.099,    2.550
  86, 080297,  3227,    4,   33.000,    2.160,    1.080
  87, 092597,  3281,    4,   42.750,    3.304,    1.652
