crn, date, julian, n, mean, StdDev, StdErr
#, mmddyy, day, #, ng/l, ng/l, ng/l
   4, 022689,   148,    3,    2.000,    0.000,    0.000
   8, 072989,   301,    3,    1.667,    1.155,    0.667
   9, 082489,   327,    2,    1.500,    0.707,    0.500
  10, 092289,   356,    1,    1.000,    0.000,    0.000
  12, 112789,   422,    3,    1.333,    0.577,    0.333
  15, 031990,   534,    2,    1.500,    0.707,    0.500
  16, 041390,   559,    2,    2.000,    1.414,    1.000
  17, 050990,   585,    1,    3.000,    0.000,    0.000
  19, 072590,   662,    1,    2.000,    0.000,    0.000
  22, 121890,   808,    4,    1.250,    0.500,    0.250
  23, 020391,   855,    1,    1.000,    0.000,    0.000
  24, 030791,   887,    2,    2.000,    0.000,    0.000
  26, 050891,   949,    6,    3.167,    2.041,    0.833
  27, 060591,   977,    2,    1.500,    0.707,    0.500
  28, 071091,  1012,    2,    7.500,    0.707,    0.500
  30, 091891,  1082,    4,    1.500,    0.577,    0.289
  32, 120791,  1162,    4,    1.500,    0.577,    0.289
  33, 010592,  1191,    1,    1.000,    0.000,    0.000
  34, 021592,  1232,    2,    2.000,    0.000,    0.000
  36, 041792,  1294,    1,    3.000,    0.000,    0.000
  37, 060992,  1347,    2,    1.500,    0.707,    0.500
  42, 112492,  1515,    2,    3.500,    0.707,    0.500
  43, 121692,  1537,    1,    4.000,    0.000,    0.000
  46, 041593,  1657,    1,    1.000,    0.000,    0.000
  47, 052193,  1693,    3,    1.333,    0.577,    0.333
  49, 091593,  1810,    1,    1.000,    0.000,    0.000
  50, 103093,  1855,    2,    1.000,    0.000,    0.000
  61, 030495,  2345,    2,    1.000,    0.000,    0.000
  62, 040695,  2378,    2,    1.000,    0.000,    0.000
  63, 050795,  2409,    4,    1.000,    0.000,    0.000
  64, 073095,  2493,    4,    1.000,    0.000,    0.000
  65, 082995,  2523,    3,    0.667,    0.577,    0.333
  66, 092695,  2551,    3,    0.333,    0.577,    0.333
  67, 102795,  2582,    3,    0.333,    0.577,    0.333
  68, 111795,  2603,    3,    1.000,    0.000,    0.000
  69, 011796,  2664,    4,    1.000,    0.000,    0.000
  70, 032796,  2734,    3,    1.000,    0.000,    0.000
  71, 042496,  2762,    2,    1.000,    0.000,    0.000
  73, 062696,  2825,    3,    1.000,    0.000,    0.000
  74, 072796,  2856,    3,    1.000,    0.000,    0.000
  75, 082196,  2881,    3,    1.000,    0.000,    0.000
  76, 100296,  2923,    2,    1.000,    0.000,    0.000
  77, 103096,  2951,    3,    1.000,    0.000,    0.000
  78, 121196,  2993,    4,    1.000,    0.000,    0.000
  79, 010897,  3021,    4,    0.000,    0.000,    0.000
  80, 021897,  3062,    5,    1.200,    0.447,    0.200
  81, 031297,  3084,    2,    1.000,    0.000,    0.000
  82, 040997,  3112,    1,    1.000,    0.000,    0.000
  83, 050797,  3140,    2,    1.000,    0.000,    0.000
  84, 060497,  3168,    3,    1.000,    0.000,    0.000
  85, 070997,  3203,    4,    1.000,    0.000,    0.000
  86, 080297,  3227,    4,    1.250,    1.258,    0.629
  87, 092597,  3281,    4,    1.000,    0.000,    0.000
  88, 120597,  3352,    5,    1.000,    0.000,    0.000
  89, 011198,  3389,    4,    1.250,    0.500,    0.250
  90, 021998,  3428,    4,    1.000,    0.000,    0.000
  91, 031898,  3455,    1,    1.000,    0.000,    0.000
  92, 041598,  3483,    4,    1.000,    0.000,    0.000
  93, 051398,  3511,    3,    1.000,    0.000,    0.000
  94, 061798,  3546,    4,    1.000,    0.000,    0.000
  95, 071598,  3574,    4,    1.250,    0.500,    0.250
  96, 081098,  3600,    5,    1.200,    0.447,    0.200
  97, 092898,  3649,    3,    1.000,    0.000,    0.000
  98, 101998,  3670,    4,    1.250,    0.500,    0.250
  99, 111198,  3693,    4,    1.000,    0.000,    0.000
 100, 120998,  3721,    5,    1.200,    0.447,    0.200
 101, 011399,  3756,    7,    1.286,    0.488,    0.184
 102, 021899,  3792,    6,    1.167,    0.408,    0.167
 103, 031799,  3819,    4,    1.000,    0.000,    0.000
 104, 041499,  3847,    8,    1.125,    0.641,    0.227
 105, 051099,  3873,    3,    1.000,    0.000,    0.000
 106, 071499,  3938,    3,    1.000,    0.000,    0.000
 107, 081399,  3968,    4,    1.000,    0.000,    0.000
 108, 101599,  4031,    4,    1.250,    0.500,    0.250
 109, 110999,  4056,    3,    1.333,    0.577,    0.333
 110, 121599,  4092,    4,    1.000,    0.000,    0.000
 111, 020300,  4142,    4,    1.250,    0.500,    0.250
 112, 030100,  4169,    3,    1.000,    0.000,    0.000
 113, 032900,  4197,    3,    1.000,    0.000,    0.000
 114, 042600,  4225,    3,    0.667,    0.577,    0.333
 115, 052500,  4254,    2,    1.000,    0.000,    0.000
 116, 062100,  4281,    2,    1.000,    0.000,    0.000
 117, 072600,  4316,    3,    1.000,    0.000,    0.000
 118, 082300,  4344,    4,    0.500,    0.577,    0.289
 119, 101800,  4400,    3,    1.000,    0.000,    0.000
 120, 113000,  4443,    5,    1.400,    0.548,    0.245
 121, 122000,  4463,    5,    1.000,    0.000,    0.000
 122, 011701,  4491,    5,    1.800,    0.837,    0.374
 123, 021401,  4519,    6,    1.000,    0.000,    0.000
 124, 032101,  4554,    3,    1.000,    0.000,    0.000
 125, 041801,  4582,    7,    1.286,    0.488,    0.184
 126, 051601,  4610,    2,    1.000,    0.000,    0.000
 127, 061401,  4639,    2,    1.000,    0.000,    0.000
 128, 071101,  4666,    2,    1.000,    0.000,    0.000
 129, 080801,  4694,    3,    1.000,    0.000,    0.000
 130, 100201,  4749,    4,    1.000,    0.000,    0.000
 131, 102301,  4770,    4,    1.250,    0.500,    0.250
 132, 111701,  4795,    6,    1.167,    0.408,    0.167
 133, 121401,  4822,    6,    1.667,    0.516,    0.211
 134, 011602,  4855,    9,    1.667,    0.500,    0.167
 135, 022102,  4891,    6,    1.667,    0.516,    0.211
 136, 031302,  4911,    6,    2.000,    0.894,    0.365
 137, 052102,  4980,    1,    1.000,    0.000,    0.000
 138, 062902,  5019,    2,    1.000,    0.000,    0.000
 139, 082802,  5079,    3,    1.000,    0.000,    0.000
 140, 100702,  5119,    4,    1.250,    0.500,    0.250
 141, 110402,  5147,    4,    1.250,    0.500,    0.250
 142, 112502,  5168,    5,    1.200,    0.447,    0.200
 143, 121902,  5192,    5,    1.600,    0.548,    0.245
 144, 011703,  5221,    8,    1.125,    0.354,    0.125
 145, 022603,  5261,    4,    1.000,    0.000,    0.000
 146, 032903,  5292,    2,    1.000,    0.000,    0.000
 147, 042403,  5318,    3,    1.000,    0.000,    0.000
 148, 052103,  5345,    2,    1.000,    0.000,    0.000
 149, 062003,  5375,    3,    1.000,    0.000,    0.000
 150, 072003,  5405,    2,    1.000,    0.000,    0.000
 151, 082103,  5437,    3,    1.000,    0.000,    0.000
 152, 101503,  5492,    4,    1.000,    0.000,    0.000
 154, 122003,  5558,    3,    1.000,    0.000,    0.000
 156, 022504,  5625,    1,    1.000,    0.000,    0.000
 157, 032004,  5649,    6,    1.500,    0.548,    0.224
 158, 042104,  5681,    3,    1.667,    0.577,    0.333
 159, 051904,  5709,    1,    1.000,    0.000,    0.000
 160, 061604,  5737,    2,    1.000,    0.000,    0.000
 161, 071304,  5764,    4,    1.500,    0.577,    0.289
 162, 081604,  5798,    2,    1.000,    0.000,    0.000
 163, 092904,  5842,    3,    1.000,    0.000,    0.000
 164, 103104,  5874,    3,    1.333,    0.577,    0.333
 165, 112804,  5902,    2,    1.000,    0.000,    0.000
 166, 122104,  5925,    6,    2.333,    0.816,    0.333
 167, 020205,  5968,    4,    1.250,    0.500,    0.250
 168, 030505,  5999,    2,    1.000,    0.000,    0.000
 169, 051805,  6073,    2,    1.000,    0.000,    0.000
 170, 061505,  6101,    2,    1.000,    0.000,    0.000
 171, 071705,  6133,    3,    0.667,    0.577,    0.333
 172, 081405,  6161,    3,    1.000,    0.000,    0.000
 173, 091005,  6188,    4,    1.500,    1.000,    0.500
 174, 100905,  6217,    5,    0.600,    0.548,    0.245
 175, 111205,  6251,    6,    1.333,    0.816,    0.333
 176, 121305,  6282,    6,    1.500,    0.548,    0.224
 177, 012506,  6325,    8,    1.000,    0.000,    0.000
 178, 021506,  6346,    5,    1.000,    0.000,    0.000
 179, 031006,  6369,    3,    1.000,    0.000,    0.000
 180, 040206,  6392,    2,    1.000,    0.000,    0.000
 181, 052706,  6447,    2,    1.000,    0.000,    0.000
 182, 061406,  6465,    2,    1.000,    0.000,    0.000
 183, 071306,  6494,    3,    0.667,    0.577,    0.333
 184, 080906,  6521,    2,    0.000,    0.000,    0.000
 185, 091606,  6559,    3,    1.000,    0.000,    0.000
 186, 102106,  6594,    3,    1.000,    0.000,    0.000
 187, 110906,  6613,    4,    0.500,    0.577,    0.289
 188, 121006,  6644,    6,    0.667,    0.516,    0.211
 189, 020707,  6703,    7,    1.143,    0.378,    0.143
 190, 032107,  6745,    3,    0.667,    0.577,    0.333
 191, 050507,  6790,    3,    0.333,    0.577,    0.333
 193, 070807,  6854,    3,    0.000,    0.000,    0.000
 194, 080407,  6881,    3,    1.000,    0.000,    0.000
 195, 090307,  6911,    3,    1.000,    0.000,    0.000
 196, 100307,  6941,    5,    1.000,    0.000,    0.000
 197, 120207,  7001,    4,    1.250,    0.500,    0.250
 198, 122107,  7020,    7,    0.429,    0.787,    0.297
 199, 013008,  7060,    7,    1.000,    0.000,    0.000
 200, 022408,  7085,    3,    1.000,    0.000,    0.000
 201, 052808,  7179,    1,    1.000,    0.000,    0.000
 202, 062608,  7208,    3,    0.667,    0.577,    0.333
 203, 072708,  7239,    2,    0.000,    0.000,    0.000
 204, 081708,  7260,    3,    0.333,    0.577,    0.333
 205, 101108,  7315,    4,    1.000,    0.000,    0.000
 206, 120108,  7366,    5,    0.800,    0.447,    0.200
 208, 012109,  7417,    7,    1.000,    0.577,    0.218
 209, 021809,  7445,    6,    0.833,    0.408,    0.167
 210, 042909,  7515,    3,    0.333,    0.577,    0.333
 211, 052809,  7544,    1,    1.000,    0.000,    0.000
 212, 070409,  7581,    2,    1.000,    0.000,    0.000
 213, 072509,  7602,    3,    1.000,    0.000,    0.000
 214, 081909,  7627,    3,    1.000,    0.000,    0.000
 215, 092509,  7664,    2,    0.500,    0.707,    0.500
 216, 110409,  7704,    3,    1.000,    0.000,    0.000
 217, 121009,  7740,    5,    0.600,    0.548,    0.245
 219, 031010,  7830,    6,    0.667,    0.516,    0.211
 220, 040710,  7858,    5,    1.400,    0.548,    0.245
 221, 051910,  7900,    2,    1.000,    0.000,    0.000
 222, 060910,  7921,    2,    1.000,    0.000,    0.000
 223, 070910,  7951,    2,    1.000,    0.000,    0.000
 224, 080810,  7981,    3,    1.000,    0.000,    0.000
 225, 090410,  8008,    4,    1.250,    0.500,    0.250
 226, 100410,  8038,    5,    1.800,    1.095,    0.490
 227, 112110,  8086,    6,    1.167,    0.408,    0.167
 229, 012911,  8155,    3,    0.667,    0.577,    0.333
 230, 030111,  8186,    2,    0.500,    0.707,    0.500
 231, 041211,  8228,    5,    0.600,    0.548,    0.245
