crn, date, julian, n, mean, stdDev, stdErr
#, mmddyy, day, #, m, m, m
   1, 103188,    30,     13,    48.60,     8.47,     2.35
   2, 120288,    62,     30,    53.41,    13.48,     2.46
   3, 010889,    99,     15,   113.82,    10.28,     2.66
   4, 022689,   148,     10,    41.69,     9.77,     3.09
   5, 032789,   177,     17,    22.25,     7.01,     1.70
   6, 051889,   229,     17,    21.66,     4.64,     1.13
   7, 062489,   266,      7,    32.15,    14.59,     5.52
   8, 072989,   301,     15,    42.39,     6.17,     1.59
   9, 082489,   327,     23,    39.82,    13.03,     2.72
  10, 092289,   356,     16,    63.49,    19.53,     4.88
  11, 101889,   382,     18,    29.59,     7.35,     1.73
  12, 112789,   422,      9,    67.83,    22.97,     7.66
  13, 010590,   461,     17,    68.98,    16.52,     4.01
  14, 021590,   502,     13,    31.45,    20.89,     5.79
  15, 031990,   534,     18,    64.41,    27.07,     6.38
  16, 041390,   559,     15,    14.94,     4.01,     1.04
  17, 050990,   585,     15,    18.43,     6.73,     1.74
  18, 061390,   620,     14,    39.86,     6.38,     1.71
  19, 072590,   662,     21,    34.93,     8.30,     1.81
  20, 091590,   714,      1,    34.98,     0.00,     0.00
  22, 121890,   808,     16,    64.46,    22.59,     5.65
  23, 020391,   855,      8,    37.49,    18.78,     6.64
  24, 030791,   887,      5,    43.54,    12.30,     5.50
  25, 041091,   921,     13,    30.04,     8.39,     2.33
  26, 050891,   949,     12,    31.56,     8.13,     2.35
  27, 060591,   977,     13,    36.19,     8.29,     2.30
  28, 071091,  1012,     17,    40.00,    10.07,     2.44
  29, 081091,  1043,     15,    35.42,    10.50,     2.71
  30, 091891,  1082,     20,    47.03,    14.41,     3.22
  31, 102191,  1115,     19,    33.68,    11.46,     2.63
  32, 120791,  1162,     19,    47.81,     6.85,     1.57
  33, 010592,  1191,     21,    46.37,    12.36,     2.70
  34, 021592,  1232,     14,    42.59,    34.85,     9.32
  35, 030692,  1252,     11,    28.27,    12.56,     3.79
  36, 041792,  1294,     19,    23.34,     9.43,     2.16
  37, 060992,  1347,     14,    35.46,     7.77,     2.08
  38, 070592,  1373,     16,    28.76,     8.28,     2.07
  39, 080592,  1404,     18,    32.52,    10.22,     2.41
  40, 092392,  1453,     16,    47.03,    12.58,     3.15
  41, 102092,  1480,     17,    31.16,    10.93,     2.65
  42, 112492,  1515,      5,    43.65,    12.84,     5.74
  43, 121692,  1537,      8,    19.27,     5.75,     2.03
  44, 012093,  1572,     20,    59.20,    24.54,     5.49
  45, 021793,  1600,     17,    25.25,     6.24,     1.51
  46, 041593,  1657,     20,    32.19,     8.67,     1.94
  47, 052193,  1693,     16,    57.17,    20.56,     5.14
  49, 091593,  1810,     21,    30.99,     7.38,     1.61
  50, 103093,  1855,     18,    39.98,    10.85,     2.56
  51, 012094,  1937,     19,    93.32,    12.71,     2.92
  52, 021794,  1965,     19,    33.34,    13.69,     3.14
  53, 030994,  1985,     22,    19.76,     7.05,     1.50
  54, 061994,  2087,     20,    32.47,     7.58,     1.69
  55, 072594,  2123,     21,    37.81,    10.47,     2.28
  56, 083094,  2159,     22,    42.84,    15.81,     3.37
  57, 092394,  2183,     20,    48.25,     9.36,     2.09
  58, 101594,  2205,     22,    47.88,    19.29,     4.11
  59, 111994,  2240,     14,    88.72,     7.35,     1.96
  60, 020695,  2319,     13,    44.28,    10.75,     2.98
  61, 030495,  2345,     17,    38.01,     9.02,     2.19
  62, 040695,  2378,     18,    41.98,    10.01,     2.36
  63, 050795,  2409,     17,    38.12,    11.43,     2.77
  64, 073095,  2493,     20,    36.58,     9.79,     2.19
  65, 082995,  2523,     19,    43.98,     8.84,     2.03
  66, 092695,  2551,     16,    30.97,     8.68,     2.17
  67, 102795,  2582,     17,    35.30,    15.42,     3.74
  68, 111795,  2603,     16,    56.10,     4.55,     1.14
  69, 011796,  2664,     16,    45.94,    13.90,     3.48
  70, 032796,  2734,     16,    48.54,    16.33,     4.08
  71, 042496,  2762,     16,    31.58,     9.11,     2.28
  72, 052296,  2790,     14,    17.80,     9.22,     2.46
  73, 062696,  2825,     15,    41.70,    11.19,     2.89
  74, 072796,  2856,     17,    36.70,    13.31,     3.23
  75, 082196,  2881,     15,    33.34,    12.36,     3.19
  76, 100296,  2923,     15,    21.70,     8.87,     2.29
  77, 103096,  2951,     14,    46.61,    11.11,     2.97
  78, 121196,  2993,     14,    93.15,     6.88,     1.84
  79, 010897,  3021,     14,    44.04,    13.60,     3.63
  80, 021897,  3062,     15,    87.35,    21.67,     5.60
  81, 031297,  3084,     14,    20.73,     7.67,     2.05
  82, 040997,  3112,     14,    22.71,     8.02,     2.14
  83, 050797,  3140,     15,    44.61,     7.84,     2.02
  84, 060497,  3168,     14,    33.09,     7.10,     1.90
  85, 070997,  3203,     14,    50.75,     9.56,     2.56
  86, 080297,  3227,     13,    43.27,    15.65,     4.34
  87, 092597,  3281,      7,    42.02,    16.05,     6.06
  88, 120597,  3352,      9,   110.70,     7.79,     2.60
  89, 011198,  3389,     14,    30.43,    10.73,     2.87
  90, 021998,  3428,     15,    36.24,    13.20,     3.41
  91, 031898,  3455,     13,    16.54,     2.73,     0.76
  92, 041598,  3483,     16,    73.84,    22.02,     5.50
  93, 051398,  3511,     15,    19.59,     6.58,     1.70
  94, 061798,  3546,     13,    43.96,    13.65,     3.79
  95, 071598,  3574,     14,    42.60,    14.30,     3.82
  96, 081098,  3600,     14,    26.92,     9.05,     2.42
  97, 092898,  3649,     13,    49.98,    16.76,     4.65
  98, 101998,  3670,     15,    47.31,    14.96,     3.86
  99, 111198,  3693,     15,    50.91,     6.95,     1.79
 100, 120998,  3721,     13,    84.25,    26.41,     7.32
 101, 011399,  3756,     15,    73.21,    40.20,    10.38
 102, 021899,  3792,     14,    41.36,    22.46,     6.00
 103, 031799,  3819,     15,    42.84,    13.15,     3.39
 104, 041499,  3847,     13,    82.26,    40.57,    11.25
 105, 051099,  3873,     15,    27.85,     6.87,     1.77
 106, 071499,  3938,     16,    52.47,    11.91,     2.98
 107, 081399,  3968,     18,    36.44,    13.97,     3.29
 108, 101599,  4031,     15,    59.39,    22.83,     5.89
 109, 110999,  4056,     15,    60.20,    10.05,     2.59
 110, 121599,  4092,     16,    75.50,    12.49,     3.12
 111, 020300,  4142,     14,    31.87,    17.14,     4.58
 112, 030100,  4169,     16,    45.76,    11.64,     2.91
 113, 032900,  4197,     15,    63.64,    13.06,     3.37
 114, 042600,  4225,     15,    28.36,     9.70,     2.50
 115, 052500,  4254,     15,    22.01,     8.09,     2.09
 116, 062100,  4281,     16,    16.67,     4.66,     1.17
 117, 072600,  4316,     15,    33.69,     7.88,     2.04
 118, 082300,  4344,     15,    56.72,    14.10,     3.64
 119, 101800,  4400,     16,    65.84,    12.73,     3.18
 120, 113000,  4443,     17,    42.43,    15.32,     3.71
 121, 122000,  4463,     15,    49.83,    16.09,     4.15
 122, 011701,  4491,     14,    73.76,    10.33,     2.76
 123, 021401,  4519,      9,    82.95,     7.92,     2.64
 124, 032101,  4554,     16,    35.22,    12.74,     3.18
 125, 041801,  4582,     15,    73.74,    26.45,     6.83
 126, 051601,  4610,     16,    23.53,     7.24,     1.81
 127, 061401,  4639,     15,    28.74,     4.38,     1.13
 128, 071101,  4666,     14,    26.28,     5.85,     1.56
 129, 080801,  4694,     16,    46.50,    13.87,     3.47
 130, 100201,  4749,     15,    38.64,    19.00,     4.91
 131, 102301,  4770,     18,    65.23,    13.24,     3.12
 132, 111701,  4795,     15,    33.11,    20.06,     5.18
 133, 121401,  4822,     12,    59.14,    15.35,     4.43
 134, 011602,  4855,     15,    66.02,    41.96,    10.83
 135, 022102,  4891,     17,    57.93,    14.58,     3.54
 136, 031302,  4911,     16,    30.61,    21.01,     5.25
 137, 052102,  4980,     15,    16.51,     7.84,     2.02
 138, 062902,  5019,      9,    33.31,    11.76,     3.92
 139, 082802,  5079,     15,    35.81,     8.92,     2.30
 140, 100702,  5119,     16,    57.01,     8.25,     2.06
 141, 110402,  5147,     16,    53.59,    20.58,     5.15
 142, 112502,  5168,     14,    42.98,    22.66,     6.06
 143, 121902,  5192,     14,    54.91,    24.20,     6.47
 144, 011703,  5221,     14,   113.31,     7.59,     2.03
 145, 022603,  5261,     15,    34.40,    12.88,     3.33
 146, 032903,  5292,     14,    31.36,     9.71,     2.60
 147, 042403,  5318,     15,    46.29,     6.41,     1.65
 148, 052103,  5345,     15,    30.29,     9.16,     2.36
 149, 062003,  5375,     15,    38.04,    10.28,     2.65
 150, 072003,  5405,     16,    24.08,     7.61,     1.90
 151, 082103,  5437,     16,    39.29,     9.97,     2.49
 152, 101503,  5492,     16,    59.72,    12.32,     3.08
 153, 111003,  5518,     14,    64.71,     8.08,     2.16
 154, 122003,  5558,     15,    24.14,    21.23,     5.48
 155, 012204,  5591,     15,    84.87,    11.96,     3.09
 156, 022504,  5625,     15,    15.44,     5.28,     1.36
 157, 032004,  5649,     13,    50.66,    38.36,    10.64
 158, 042104,  5681,     16,    27.34,    15.95,     3.99
 159, 051904,  5709,     15,    17.08,     5.88,     1.52
 160, 061604,  5737,     17,    24.92,     8.45,     2.05
 161, 071304,  5764,      5,    57.09,     7.38,     3.30
 162, 081604,  5798,     12,    35.02,     8.14,     2.35
 163, 092904,  5842,     16,    37.28,     9.71,     2.43
 164, 103104,  5874,     15,    38.96,    13.01,     3.36
 165, 112804,  5902,     16,    30.94,    10.96,     2.74
 166, 122104,  5925,     17,    81.04,     6.64,     1.61
 167, 020205,  5968,     16,    60.04,    11.92,     2.98
 168, 030505,  5999,     15,    28.28,     9.02,     2.33
 169, 051805,  6073,     17,    31.61,     7.91,     1.92
 170, 061505,  6101,     15,    32.28,     8.50,     2.19
 171, 071705,  6133,     16,    37.49,     6.83,     1.71
 172, 081405,  6161,     15,    18.81,     4.28,     1.10
 173, 091005,  6188,     17,    41.57,     6.37,     1.54
 174, 100905,  6217,     21,    78.57,     7.14,     1.56
 175, 111205,  6251,     19,    74.14,    13.88,     3.18
 176, 121305,  6282,     17,    56.25,    16.53,     4.01
 177, 012506,  6325,     14,    84.06,    26.48,     7.08
 178, 021506,  6346,     18,    87.15,    26.40,     6.22
 179, 031006,  6369,     19,    48.34,    16.08,     3.69
 180, 040206,  6392,     17,    21.76,     6.56,     1.59
 181, 052706,  6447,     18,    21.63,    10.16,     2.39
 182, 061406,  6465,     16,    28.44,     6.57,     1.64
 183, 071306,  6494,     16,    53.75,     7.50,     1.87
 184, 080906,  6521,     16,    34.31,     5.66,     1.42
 185, 091606,  6559,     17,    32.75,    12.04,     2.92
 186, 102106,  6594,     30,    34.65,     9.48,     1.73
 187, 110906,  6613,     16,    43.41,    15.89,     3.97
