crn, date, julian, sil
#, mmddyy, day, mg/m2/day
  79, 010897,  3021,    1.424
  80, 021897,  3062,    0.897
  83, 050797,  3140,    2.859
 122, 011701,  4491,    0.395
 123, 021401,  4519,    1.559
 124, 032101,  4554,    1.347
 125, 041801,  4582,    1.029
 126, 051601,  4610,    2.376
 127, 061401,  4639,    2.468
 128, 071101,  4666,    3.833
 129, 080801,  4694,    1.836
 130, 100201,  4749,    0.784
 131, 102301,  4770,    1.282
 132, 111701,  4795,    2.496
 134, 011602,  4855,    1.253
 135, 022102,  4891,    1.883
 136, 031302,  4911,    0.550
 137, 052102,  4980,    2.700
 139, 082802,  5079,    1.913
 140, 100702,  5119,    2.142
 141, 110402,  5147,    0.548
 142, 112502,  5168,    0.995
 143, 121902,  5192,    1.145
 145, 022603,  5261,    1.413
 146, 032903,  5292,    2.052
 147, 042403,  5318,    7.234
 148, 052103,  5345,    3.523
 149, 062003,  5375,    3.074
 150, 072003,  5405,    7.131
 152, 101503,  5492,    2.399
 153, 111003,  5518,    2.490
 154, 122003,  5558,    2.057
 155, 012204,  5591,    2.069
 156, 022504,  5625,    3.107
 157, 032004,  5649,    1.814
 158, 042104,  5681,    3.666
 159, 051904,  5709,    2.820
 160, 061604,  5737,    2.463
 162, 081604,  5798,    7.957
 163, 092904,  5842,    2.758
 164, 103104,  5874,    1.575
 165, 112804,  5902,    2.423
 166, 122104,  5925,    2.535
 167, 020205,  5968,    1.937
 168, 030505,  5999,    6.705
 169, 051805,  6073,    1.673
 170, 061505,  6101,    5.072
 171, 071705,  6133,    2.991
 172, 081405,  6161,    6.537
 173, 091005,  6188,    4.217
 174, 100905,  6217,    0.680
 175, 111205,  6251,    1.086
 176, 121305,  6282,    0.498
 178, 021506,  6346,    1.408
 179, 031006,  6369,    4.248
 180, 040206,  6392,    0.422
 181, 052706,  6447,    1.672
 182, 061406,  6465,    1.611
 183, 071306,  6494,    0.256
 184, 080906,  6521,   21.579
 185, 091606,  6559,    0.671
 186, 102106,  6594,    0.817
 187, 110906,  6613,    0.358
 188, 121006,  6644,    0.245
 189, 020707,  6703,    2.048
 191, 050507,  6790,    1.144
 192, 061007,  6826,    3.172
 193, 070807,  6854,    1.109
 194, 080407,  6881,    2.991
 195, 090307,  6911,    0.189
 196, 100307,  6941,    0.644
 197, 120207,  7001,    3.129
 198, 122107,  7020,    2.769
 199, 013008,  7060,    1.494
 200, 022408,  7085,    1.340
 201, 052808,  7179,    0.536
 202, 062608,  7208,    4.677
 203, 072708,  7239,    2.454
 205, 101108,  7315,    1.142
 206, 120108,  7366,    1.270
 208, 012109,  7417,    1.391
 209, 021809,  7445,    4.285
 210, 042909,  7515,    2.384
 211, 052809,  7544,    2.870
 212, 070409,  7581,    3.871
 213, 072509,  7602,    3.484
 214, 081909,  7627,    9.859
 215, 092509,  7664,    2.663
 216, 110409,  7704,    2.009
 217, 121009,  7740,    2.688
 220, 040710,  7858,    3.951
 221, 051910,  7900,    2.022
 222, 060910,  7921,    3.422
 223, 070910,  7951,    6.644
 224, 080810,  7981,    3.257
 225, 090410,  8008,    1.374
 226, 100410,  8038,    1.290
 228, 010911,  8135,    1.415
 229, 012911,  8155,    2.291
 230, 030111,  8186,    1.897
 231, 041211,  8228,    2.624
 232, 051011,  8256,    2.285
 233, 072011,  8327,    2.484
 239, 011912,  8510,    1.997
 240, 032512,  8576,    3.738
 242, 053112,  8643,    4.357
 243, 062712,  8670,    3.297
 245, 081812,  8722,    1.786
 246, 091512,  8750,    2.497
 248, 120412,  8830,    1.269
 255, 100213,  9132,    0.887
 256, 102813,  9158,    3.072
 257, 112713,  9188,    1.585
 258, 122113,  9212,    1.214
 259, 011614,  9238,    1.708
 260, 021514,  9268,    1.589
 261, 030614,  9287,    2.419
 262, 041114,  9323,    4.241
 263, 060114,  9374,    2.762
 264, 070114,  9404,    3.920
 265, 091514,  9480,    3.038
 266, 101414,  9509,    4.834
 267, 112214,  9548,    1.509
 268, 121714,  9573,    2.926
 269, 022515,  9643,    4.276
 270, 032915,  9675,    3.490
 271, 042215,  9699,    2.829
 272, 052415,  9731,    2.168
 273, 062015,  9758,    2.359
 274, 072015,  9788,    4.152
 275, 081315,  9812,   17.627
 277, 101415,  9874,    3.260
 281, 021016,  9993,    5.581
 282, 030916, 10021,    1.121
 284, 052916, 10102,    3.466
 285, 071216, 10146,    4.911
 286, 081016, 10175,    2.796
 287, 101616, 10242,    1.828
 289, 012417, 10342,    2.132
 291, 032917, 10406,    3.574
 292, 042617, 10434,    2.459
 294, 062117, 10490,    2.293
 295, 080917, 10539,    3.118
 296, 100717, 10598,    1.846
 297, 110917, 10631,    1.934
 298, 121317, 10665,    4.514
 304, 072518, 10889,    6.742
 305, 091118, 10937,    9.604
 306, 101318, 10969,    2.247
 307, 111718, 11004,    2.123
